[2021-07-09 18:12:43,519] INFO Terminating process due to signal SIGINT (org.apache.kafka.common.utils.LoggingSignalHandler)
[2021-07-09 18:12:44,045] INFO [KafkaServer id=0] shutting down (kafka.server.KafkaServer)
[2021-07-09 18:12:44,115] INFO [KafkaServer id=0] Starting controlled shutdown (kafka.server.KafkaServer)
[2021-07-09 18:12:44,850] INFO [KafkaServer id=0] Controlled shutdown succeeded (kafka.server.KafkaServer)
[2021-07-09 18:12:45,104] INFO [/config/changes-event-process-thread]: Shutting down (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2021-07-09 18:12:45,105] INFO [/config/changes-event-process-thread]: Stopped (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2021-07-09 18:12:45,105] INFO [/config/changes-event-process-thread]: Shutdown completed (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2021-07-09 18:12:45,107] INFO [SocketServer listenerType=ZK_BROKER, nodeId=0] Stopping socket server request processors (kafka.network.SocketServer)
[2021-07-09 18:12:45,157] INFO [SocketServer listenerType=ZK_BROKER, nodeId=0] Stopped socket server request processors (kafka.network.SocketServer)
[2021-07-09 18:12:45,158] INFO [data-plane Kafka Request Handler on Broker 0], shutting down (kafka.server.KafkaRequestHandlerPool)
[2021-07-09 18:12:45,161] INFO [data-plane Kafka Request Handler on Broker 0], shut down completely (kafka.server.KafkaRequestHandlerPool)
[2021-07-09 18:12:45,169] INFO [ExpirationReaper-0-AlterAcls]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2021-07-09 18:12:45,345] INFO [ExpirationReaper-0-AlterAcls]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2021-07-09 18:12:45,345] INFO [ExpirationReaper-0-AlterAcls]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2021-07-09 18:12:45,347] INFO [KafkaApi-0] Shutdown complete. (kafka.server.KafkaApis)
[2021-07-09 18:12:45,348] INFO [/kafka-acl-changes-event-process-thread]: Shutting down (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2021-07-09 18:12:45,349] INFO [/kafka-acl-changes-event-process-thread]: Shutdown completed (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2021-07-09 18:12:45,349] INFO [/kafka-acl-extended-changes-event-process-thread]: Shutting down (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2021-07-09 18:12:45,349] INFO [/kafka-acl-changes-event-process-thread]: Stopped (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2021-07-09 18:12:45,349] INFO [/kafka-acl-extended-changes-event-process-thread]: Stopped (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2021-07-09 18:12:45,349] INFO [/kafka-acl-extended-changes-event-process-thread]: Shutdown completed (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2021-07-09 18:12:45,350] INFO [ZooKeeperClient ACL authorizer] Closing. (kafka.zookeeper.ZooKeeperClient)
[2021-07-09 18:12:45,494] INFO channel is told closing (org.apache.zookeeper.ClientCnxnSocketNetty)
[2021-07-09 18:12:45,701] INFO channel is disconnected: [id: 0x45515f52, L:/127.0.0.1:45970 ! R:localhost/127.0.0.1:2182] (org.apache.zookeeper.ClientCnxnSocketNetty)
[2021-07-09 18:12:45,701] INFO channel is told closing (org.apache.zookeeper.ClientCnxnSocketNetty)
[2021-07-09 18:12:45,701] INFO EventThread shut down for session: 0x10002ade3af0001 (org.apache.zookeeper.ClientCnxn)
[2021-07-09 18:12:45,701] INFO Session: 0x10002ade3af0001 closed (org.apache.zookeeper.ZooKeeper)
[2021-07-09 18:12:45,702] INFO [ZooKeeperClient ACL authorizer] Closed. (kafka.zookeeper.ZooKeeperClient)
[2021-07-09 18:12:45,703] INFO [ExpirationReaper-0-topic]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2021-07-09 18:12:45,784] INFO [ExpirationReaper-0-topic]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2021-07-09 18:12:45,784] INFO [ExpirationReaper-0-topic]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
